,index,genres,id,keywords,original_title,release_date,revenue,status,title,cast,director
1379,1391,Comedy,2959,'new love ten commandments bride bridegroom marriage','License to Wed',2007-07-04,69307224,Released,'License to Wed','Robin Williams Mandy Moore John Krasinski Eric Christian Olsen Christine Taylor','Ken Kwapis'
1380,1392,Comedy,9957,'baseball pizza sport paperboy team','The Benchwarmers',2006-04-07,0,Released,'The Benchwarmers','Jon Heder Rob Schneider David Spade Jon Lovitz Tim Meadows','Dennis Dugan'
1381,1393,'Comedy Romance',11648,'sister sister relationship make a match single children teacher','Must Love Dogs',2005-07-21,58405313,Released,'Must Love Dogs','Diane Lane John Cusack Elizabeth Perkins Christopher Plummer Dermot Mulroney','Gary David Goldberg'
1382,1394,'Crime Drama Thriller',9366,'undercover colombia mafia mobster dirty cop','Donnie Brasco',1997-02-27,41954997,Released,'Donnie Brasco','Johnny Depp Al Pacino Michael Madsen Bruno Kirby James Russo','Mike Newell'
1383,1395,'Horror Action Science Fiction',1576,'undercover mutant dystopia conspiracy zombie','Resident Evil',2002-03-15,102984862,Released,'Resident Evil','Milla Jovovich Michelle Rodriguez Eric Mabius Ryan McCluskey Oscar Pearce','Paul W.S. Anderson'
1384,1396,Horror,609,'medium ghostbuster poltergeist haunted house dying and death',Poltergeist,1982-06-04,122200000,Released,Poltergeist,'Craig T. Nelson JoBeth Williams Beatrice Straight Heather O\'Rourke Dominique Dunne','Tobe Hooper'
1385,1397,'Comedy Crime Thriller',5516,'church choir hiding place garbage duringcreditsstinger','The Ladykillers',2004-03-25,0,Released,'The Ladykillers','Tom Hanks Irma P. Hall Marlon Wayans J.K. Simmons Tzi Ma','Joel Coen'
1386,1398,Action,13051,'assassin based on video game aftercreditsstinger','Max Payne',2008-10-15,85416905,Released,'Max Payne','Mark Wahlberg Mila Kunis Beau Bridges Ludacris Chris O\'Donnell','John Moore'
1387,1399,'Action Thriller Science Fiction',49530,'bank future time dystopia race against time','In Time',2011-10-27,173930596,Released,'In Time','Justin Timberlake Amanda Seyfried Cillian Murphy Olivia Wilde Alex Pettyfer','Andrew Niccol'
1388,1400,'Comedy Romance',34806,'kiss sperm bank romantic comedy male female relationship doctor','The Back-Up Plan',2010-04-23,77477008,Released,'The Back-Up Plan','Jennifer Lopez Alex O\'Loughlin Danneel Ackles Eric Christian Olsen Anthony Anderson','Alan Poul'
1389,1401,'Comedy Drama Romance',49022,'new york alcohol based on novel secret cheating','Something Borrowed',2011-05-05,59901913,Released,'Something Borrowed','Kate Hudson Ginnifer Goodwin John Krasinski Colin Egglesfield Ashley Williams','Luke Greenfield'
1390,1402,'Adventure Comedy Fantasy',11469,'england black people medallion castle time travel','Black Knight',2001-11-21,0,Released,'Black Knight','Martin Lawrence Marsha Thomason Tom Wilkinson Vincent Regan Daryl Mitchell','Gil Junger'
1391,1403,'Comedy Family',23479,'baseball sport little league','The Bad News Bears',1976-04-07,35323292,Released,'The Bad News Bears','Walter Matthau Tatum O\'Neal Ben Piazza Vic Morrow Erin Blunt','Michael Ritchie'
1392,1404,'Action Adventure Thriller',11667,'dictator martial arts hostage liberation of hostage hostage-taking','Street Fighter',1994-12-22,99423521,Released,'Street Fighter','Jean-Claude Van Damme Ra\\u00fal Juli\\u00e1 Ming-Na Wen Damian Chapa Kylie Minogue','Steven E. de Souza'
1393,1405,'Drama War',423,'individual resistance radio station war crimes loss of family','The Pianist',2002-09-24,120072577,Released,'The Pianist','Adrien Brody Thomas Kretschmann Frank Finlay Maureen Lipman Emilia Fox','Roman Polanski'
1394,1406,'Drama History',2447,'jesus christ bible three kings archangel gabriel christian','The Nativity Story',2006-12-01,0,Released,'The Nativity Story','Keisha Castle-Hughes Oscar Isaac Hiam Abbass Shaun Toub Ciar\\u00e1n Hinds','Catherine Hardwicke'
1395,1407,Horror,10066,'american football traffic jam remake murder suspense','House of Wax',2005-04-30,68766121,Released,'House of Wax','Elisha Cuthbert Paris Hilton Brian Van Holt Jared Padalecki Chad Michael Murray','Jaume Collet-Serra'
1396,1408,'Drama Romance',2288,'father son relationship love at first sight photographer loss of lover cheating',Closer,2004-12-01,115505027,Released,Closer,'Julia Roberts Jude Law Natalie Portman Clive Owen Colin Stinton','Mike Nichols'
1397,1409,'Drama Crime History',88794,'biography historical figure fbi director','J. Edgar',2011-11-09,84606030,Released,'J. Edgar','Leonardo DiCaprio Josh Hamilton Geoff Pierson Armie Hammer Naomi Watts','Clint Eastwood'
1398,1410,'Horror Mystery Thriller',13515,'schizophrenia night watchman subway hallucination alcoholism',Mirrors,2008-08-15,72436439,Released,Mirrors,'Kiefer Sutherland Paula Patton Amy Smart Cameron Boyce Erica Gluck','Alexandre Aja'
1399,1411,'Drama Fantasy Horror',11979,'queen rock star secret society vampire light','Queen of the Damned',2002-02-10,45479110,Released,'Queen of the Damned','Stuart Townsend Aaliyah Marguerite Moreau Vincent P\\u00e9rez Paul McGann','Michael Rymer'
1400,1412,'Science Fiction Action Thriller',169,'predator war on drugs extraterrestrial technology los angeles invisible','Predator 2',1990-11-20,57120318,Released,'Predator 2','Kevin Peter Hall Danny Glover Gary Busey Rub\\u00e9n Blades Mar\\u00eda Conchita Alonso','Stephen Hopkins'
1401,1413,Drama,8090,'suicide fbi kidnapping snuff sadism',Untraceable,2008-01-22,32483410,Released,Untraceable,'Diane Lane Billy Burke Colin Hanks Joseph Cross Mary Beth Hurt','Gregory Hoblit'
1402,1414,'Comedy Romance',11622,'isolation atomic bomb bunker shelter','Blast from the Past',1999-02-12,40263020,Released,'Blast from the Past','Brendan Fraser Alicia Silverstone Christopher Walken Sissy Spacek Nathan Fillion','Hugh Wilson'
1403,1415,'Science Fiction',3604,'emperor solar eclipse prince tv duel fighter','Flash Gordon',1980-09-01,27107960,Released,'Flash Gordon','Sam J. Jones Melody Anderson Max von Sydow Chaim Topol Ornella Muti','Mike Hodges'
1404,1416,'Comedy Romance',9541,'yuppie daughter loss of wife','Jersey Girl',2004-03-25,36098382,Released,'Jersey Girl','Ben Affleck Raquel Castro Liv Tyler Jennifer Lopez George Carlin','Kevin Smith'
1405,1417,'Action Thriller Crime Mystery',94348,'ex military','Alex Cross',2012-10-18,30353232,Released,'Alex Cross','Tyler Perry Rachel Nichols Jean Reno Matthew Fox Giancarlo Esposito','Rob Cohen'
1406,1418,'Crime Drama Mystery Thriller',8197,'drag queen voodoo savannah','Midnight in the Garden of Good and Evil',1997-11-21,25105255,Released,'Midnight in the Garden of Good and Evil','John Cusack Kevin Spacey Jude Law Alison Eastwood Jack Thompson','Clint Eastwood'
1407,1419,'Crime Action Thriller',336004,'casino robbery bus hijacking heist',Heist,2015-11-13,4100000,Released,Heist,'Jeffrey Dean Morgan Robert De Niro Kate Bosworth Dave Bautista Gina Carano','Scott Mann'
1408,1420,'Comedy Fantasy',35019,'nanny fantasy children aftercreditsstinger duringcreditsstinger','Nanny McPhee and the Big Bang',2010-03-26,93246388,Released,'Nanny McPhee and the Big Bang','Emma Thompson Asa Butterfield Ralph Fiennes Maggie Gyllenhaal Maggie Smith','Susanna White'
1409,1421,'Crime History',10410,'policy and organisations power trade union gangster',Hoffa,1992-12-25,0,Released,Hoffa,'Jack Nicholson Danny DeVito Armand Assante J. T. Walsh John C. Reilly','Danny DeVito'
1410,1422,'Drama Mystery Science Fiction Thriller',8836,'extraterrestrial technology fbi alien fbi agent duringcreditsstinger','The X Files: I Want to Believe',2008-07-24,68369434,Released,'The X Files: I Want to Believe','David Duchovny Gillian Anderson Amanda Peet Billy Connolly Xzibit','Chris Carter'
1411,1423,'Family Fantasy Comedy',14442,'elves based on novel magic fairy prince','Ella Enchanted',2004-04-09,27388767,Released,'Ella Enchanted','Anne Hathaway Hugh Dancy Cary Elwes Vivica A. Fox Joanna Lumley','Tommy O\'Haver'
1412,1424,Drama,321741,'american football concussion biography professional sports brain damage',Concussion,2015-11-12,50363790,Released,Concussion,'Will Smith Alec Baldwin Albert Brooks Gugu Mbatha-Raw David Morse','Peter Landesman'
1413,1425,'Thriller Action Mystery',59965,'cia airport hero fight kidnapping',Abduction,2011-09-22,82087155,Released,Abduction,'Taylor Lautner Lily Collins Alfred Molina Jason Isaacs Maria Bello','John Singleton'
1414,1426,'Animation Family Adventure',14175,'animation animal 3d',Valiant,2005-03-25,19478106,Released,Valiant,'Ewan McGregor Ricky Gervais Tim Curry Jim Broadbent Hugh Laurie','Gary Chapman'
1415,1427,'Comedy Drama',11004,'adultery robbery based on novel professor college','Wonder Boys',2000-02-22,0,Released,'Wonder Boys','Michael Douglas Tobey Maguire Frances McDormand Katie Holmes Rip Torn','Curtis Hanson'
1416,1428,'Action Comedy Science Fiction',11918,'anti hero high school dragonfly superhero radioactive','Superhero Movie',2008-03-27,25871834,Released,'Superhero Movie','Drake Bell Sara Paxton Leslie Nielsen Christopher McDonald Jeffrey Tambor','Craig Mazin'
1417,1429,'Thriller Crime Drama',98357,'mayor investigation politics ex-cop revenge','Broken City',2013-01-18,19701164,Released,'Broken City','Mark Wahlberg Russell Crowe Catherine Zeta-Jones Jeffrey Wright Barry Pepper','Allen Hughes'
1418,1430,'Horror Comedy',10012,'brother sister relationship bite transformation supernatural powers werewolf',Cursed,2005-02-25,19294901,Released,Cursed,'Portia de Rossi Christina Ricci Jesse Eisenberg Milo Ventimiglia Judy Greer','Wes Craven'
1419,1431,'Crime Action Thriller',49526,'new york dirty cop bicycle courier duringcreditsstinger race against the clock','Premium Rush',2012-08-24,31083599,Released,'Premium Rush','Joseph Gordon-Levitt Michael Shannon Dania Ramirez Jamie Chung Wol\\u00e9 Parks','David Koepp'
1420,1432,'Action Comedy Crime',268920,'texas prisoner cop drug cartel on the run','Hot Pursuit',2015-05-08,51680201,Released,'Hot Pursuit','Reese Witherspoon Sof\\u00eda Vergara Michael Mosley John Carroll Lynch Richard T. Jones','Anne Fletcher'
1421,1433,'War Adventure Drama Romance',9093,'islam sex loyalty bravery army','The Four Feathers',2002-09-08,29882645,Released,'The Four Feathers','Heath Ledger Wes Bentley Kate Hudson Djimon Hounsou Michael Sheen','Shekhar Kapur'
1422,1434,'Action Crime',119283,'professional thief jewel robbery',Parker,2013-01-23,46216641,Released,Parker,'Jason Statham Jennifer Lopez Nick Nolte Michael Chiklis Clifton Collins Jr','Taylor Hackford'
1423,1435,'Comedy Romance',11823,'tennis new love tennis player australia wimbledon',Wimbledon,2004-09-13,41512007,Released,Wimbledon,'Kirsten Dunst Paul Bettany Sam Neill James McAvoy Bernard Hill','Richard Loncraine'
1424,1436,Comedy,35169,'bear animal aftercreditsstinger duringcreditsstinger real estate','Furry Vengeance',2010-04-02,39340177,Released,'Furry Vengeance','Brendan Fraser Ken Jeong Brooke Shields Angela Kinsey Rob Riggle','Roger Kumble'
1425,1437,'Action Horror Thriller',118957,'drowning supermarket shark attack australian flooding',Bait,2012-09-05,0,Released,Bait,'Sharni Vinson Phoebe Tonkin Julian McMahon Xavier Samuel Cariba Heine','Kimble Rendall'
1426,1438,'Fantasy Action Adventure',849,'kingdom lightsaber cult favorite dead body magical object',Krull,1983-07-29,16519460,Released,Krull,'Ken Marshall Lysette Anthony Francesca Annis Alun Armstrong David Battley','Peter Yates'
1427,1439,'Action Adventure Drama History',4515,'journalist terrorist war against terror externally controlled action manipulation','Lions for Lambs',2007-10-22,63215872,Released,'Lions for Lambs','Robert Redford Meryl Streep Tom Cruise Michael Pe\\u00f1a Andrew Garfield','Robert Redford'
1428,1440,'Action Adventure Drama Thriller',18886,'bomber vietnam war u.s. navy aviation combat','Flight of the Intruder',1991-01-18,0,Released,'Flight of the Intruder','Danny Glover Willem Dafoe Brad Johnson Rosanna Arquette Tom Sizemore','John Milius'
1429,1441,'Comedy Music',6575,'music record rock and roll pop hip-hop fab four','Walk Hard: The Dewey Cox Story',2007-12-21,18317151,Released,'Walk Hard: The Dewey Cox Story','John C. Reilly Jenna Fischer Tim Meadows Kristen Wiig Raymond J. Barry','Jake Kasdan'
1430,1442,'Drama Romance',6440,'sex adultery based on novel fishing isolation','The Shipping News',2001-12-18,0,Released,'The Shipping News','Kevin Spacey Julianne Moore Cate Blanchett Judi Dench Pete Postlethwaite','Lasse Hallstr\\u00f6m'
1431,1443,'Action Western',13496,'sheriff horse outlaw jesse james cole younger','American Outlaws',2001-08-17,13678913,Released,'American Outlaws','Colin Farrell Scott Caan Ali Larter Gabriel Macht Gregory Smith','Les Mayfield'
1432,1444,'Drama History Romance',18320,'royal family biography royalty period drama queen victoria','The Young Victoria',2009-03-04,27409889,Released,'The Young Victoria','Emily Blunt Jim Broadbent Mark Strong Paul Bettany Miranda Richardson','Jean-Marc Vall\\u00e9e'
1433,1445,'Action Crime Mystery Thriller',22787,'airplane based on comic book corpse stich',Whiteout,2009-09-09,12206028,Released,Whiteout,'Kate Beckinsale Gabriel Macht Tom Skerritt Columbus Short Shawn Doyle','Dominic Sena'
1434,1446,'Drama Fantasy',8967,'philosophy father son relationship red hair brother sister relationship sun','The Tree of Life',2011-05-18,54674226,Released,'The Tree of Life','Brad Pitt Sean Penn Jessica Chastain Hunter McCracken Finnegan Williams','Terrence Malick'
1435,1447,'Action Adventure Thriller',37498,'parking garage freighter fundraiser','Knock Off',1998-09-04,0,Released,'Knock Off','Jean-Claude Van Damme Lela Rochon Paul Sorvino Rob Schneider Mark Houghton','Tsui Hark'
1436,1448,'Action Drama Thriller Crime',144336,'drug cartel dea',Sabotage,2014-03-28,17508518,Released,Sabotage,'Arnold Schwarzenegger Sam Worthington Mireille Enos Joe Manganiello Harold Perrineau','David Ayer'
1437,1449,'Drama Fantasy Horror Mystery Romance',9616,'riddle rome vatican secret organization investigation','The Order',2003-09-05,11560806,Released,'The Order','Heath Ledger Shannyn Sossamon Benno F\\u00fcrmann Mark Addy Peter Weller','Brian Helgeland'
1438,1450,'Action Crime',13056,'broken neck fbi agent wall safe trashed house aerial shot','Punisher: War Zone',2008-12-05,10089373,Released,'Punisher: War Zone','Ray Stevenson Dominic West Julie Benz Colin Salmon Doug Hutchison','Lexi Alexander'
1439,1451,'Family Fantasy Comedy',14113,'superhero kids and family',Zoom,2006-08-11,12506188,Released,Zoom,'Tim Allen Courteney Cox Chevy Chase Spencer Breslin Kevin Zegers','Peter Hewitt'
1440,1452,'Adventure Drama Thriller',285783,'1970s skyscraper based on true story tightrope planning','The Walk',2015-09-30,61181942,Released,'The Walk','Joseph Gordon-Levitt Ben Kingsley Charlotte Le Bon Ben Schwartz James Badge Dale','Robert Zemeckis'
1441,1453,'Fantasy Family Action',49478,'american football mythology chinese food kangaroo','Warriors of Virtue',1997-05-02,0,Released,'Warriors of Virtue','Angus Macfadyen Mario Yedidia Marley Shelton Chao Li Chi','Ronny Yu'
1442,1454,'Comedy Drama Romance',9726,'provence wine cellar vineyard wine garden wine','A Good Year',2006-09-09,42064105,Released,'A Good Year','Russell Crowe Marion Cotillard Albert Finney Tom Hollander Abbie Cornish','Ridley Scott'
1443,1455,Drama,20763,'step father physical abuse abuse','Radio Flyer',1992-02-21,4651977,Released,'Radio Flyer','Elijah Wood Lorraine Bracco Adam Baldwin John Heard Joseph Mazzello','Richard Donner'
1444,1456,'Action Crime Drama Thriller',9702,'juvenile prison artist jail east l.a. hood','Bound by Honor',1993-02-05,0,Released,'Bound by Honor','Damian Chapa Jesse Borrego Benjamin Bratt Enrique Castillo Victor Rivers','Taylor Hackford'
1445,1457,'Action Crime Drama Mystery Thriller',9311,'copenhagen inuit comet arctic snow','Smilla\'s Sense of Snow',1997-02-13,0,Released,'Smilla\'s Sense of Snow','Julia Ormond Gabriel Byrne Richard Harris Jim Broadbent Tom Wilkinson','Bille August'
1446,1458,'Thriller Crime Romance',9280,'paris france new identity paparazzi cannes','Femme Fatale',2002-11-06,16838910,Released,'Femme Fatale','Rebecca Romijn Antonio Banderas Peter Coyote Rie Rasmussen Gregg Henry','Brian De Palma'
1447,1459,'Action History War',26843,'italy middle east resistance world war ii libya','Lion of the Desert',1981-04-17,0,Released,'Lion of the Desert','Anthony Quinn Rod Steiger Oliver Reed Irene Papas Raf Vallone','Moustapha Akkad'
1448,1460,'War Adventure Drama Romance',11876,'italian new love provence horse exile','Le Hussard sur le toit',1995-09-20,15000000,Released,'The Horseman on the Roof','Juliette Binoche Olivier Martinez Pierre Arditi Fran\\u00e7ois Cluzet G\\u00e9rard Depardieu','Jean-Paul Rappeneau'
1449,1461,'Drama War Romance Western',22267,'civil war friends bush whacker raid','Ride with the Devil',1999-11-24,635096,Released,'Ride with the Devil','Tobey Maguire Skeet Ulrich Jeffrey Wright Jewel Jonathan Rhys Meyers','Ang Lee'
1450,1462,Drama,45958,'immigrant illegal immigrant chinese single father',Biutiful,2010-10-20,25147786,Released,Biutiful,'Javier Bardem Maricel \\u00c1lvarez Hanaa Bouchaib Guillermo Estrella Eduard Fern\\u00e1ndez','Alejandro Gonz\\u00e1lez I\\u00f1\\u00e1rritu'
1451,1463,'Action Comedy Western Crime',1969,'mexico bank robber revenge best friend bank robbery',Bandidas,2006-01-18,10496317,Released,Bandidas,'Pen\\u00e9lope Cruz Salma Hayek Dwight Yoakam Steve Zahn Denis Arndt','Joachim R\\u00f8nning'
1452,1464,'Drama Crime',310706,?,'Black Water Transit',2009-05-13,0,Released,'Black Water Transit','Laurence Fishburne Karl Urban Brittany Snow Aisha Tyler Beverly D\'Angelo','Tony Kaye'
1453,1465,'Action Mystery Science Fiction Thriller',198663,'based on novel maze post-apocalyptic dystopia escape','The Maze Runner',2014-09-10,348319861,Released,'The Maze Runner','Dylan O\'Brien Ki Hong Lee Kaya Scodelario Aml Ameen Blake Cooper','Wes Ball'
1454,1466,Comedy,239573,'europe business trip','Unfinished Business',2015-03-05,14431253,Released,'Unfinished Business','Vince Vaughn Dave Franco James Marsden June Diane Raphael Sienna Miller','Ken Scott'
1455,1467,'Drama Romance',10436,'upper class new york lover countess lawyer','The Age of Innocence',1993-09-17,32255440,Released,'The Age of Innocence','Daniel Day-Lewis Michelle Pfeiffer Winona Ryder Alexis Smith Geraldine Chaplin','Martin Scorsese'
1456,1468,'Drama Adventure Science Fiction Romance',1381,'brain tumor operation queen love of one\'s life surgeon','The Fountain',2006-09-06,15304890,Released,'The Fountain','Hugh Jackman Rachel Weisz Ellen Burstyn Mark Margolis Stephen McHattie','Darren Aronofsky'
1457,1469,'Action Comedy Thriller',2162,?,'Chill Factor',1999-09-01,11263966,Released,'Chill Factor','Cuba Gooding Jr. Skeet Ulrich Peter Firth David Paymer Daniel Hugh Kelly','Hugh Johnson'
1458,1470,'Action Crime Drama Thriller',127493,'taxi driver thief fbi agent',Stolen,2012-05-17,2106557,Released,Stolen,'Nicolas Cage Malin \\u00c5kerman Josh Lucas Sami Gayle Danny Huston','Simon West'
1459,1471,'Animation Family',12429,'mother fish cliff father mermaid',崖の上のポニョ,2008-07-19,187479518,Released,Ponyo,'Yuria Nara Hiroki Doi George Tokoro Tomoko Yamaguchi Yuki Amami','Hayao Miyazaki'
1460,1473,'Drama Science Fiction Thriller',2900,'wife husband relationship space travel space mission pregnancy','The Astronaut\'s Wife',1999-08-26,19598588,Released,'The Astronaut\'s Wife','Johnny Depp Charlize Theron Joe Morton Clea DuVall Nick Cassavetes','Rand Ravich'
1461,1474,'Romance Drama Adventure',21311,africa,'I Dreamed of Africa',2000-05-05,0,Released,'I Dreamed of Africa','Kim Basinger Vincent P\\u00e9rez Liam Aiken Daniel Craig Eva Marie Saint','Hugh Hudson'
1462,1475,'Comedy Romance',77875,'mother father son relationship field athlete soccer','Playing for Keeps',2012-11-29,0,Released,'Playing for Keeps','Gerard Butler Jessica Biel Uma Thurman Catherine Zeta-Jones Iqbal Theba','Gabriele Muccino'
1463,1476,'Drama History',192136,'prison south africa apartheid biography nelson mandela','Mandela: Long Walk to Freedom',2013-12-06,27330000,Released,'Mandela: Long Walk to Freedom','Idris Elba Naomie Harris Tony Kgoroge Riaad Moosa Fana Mokoena','Justin Chadwick'
1464,1477,'Drama History',18254,'journalist russian revolution 1917',Reds,1981-12-25,40382659,Released,Reds,'Warren Beatty Diane Keaton Edward Herrmann Jack Nicholson Jerzy Kosinski','Warren Beatty'
1465,1478,Drama,881,'suicide underdog suspicion of murder court case navy','A Few Good Men',1992-12-11,243240178,Released,'A Few Good Men','Tom Cruise Jack Nicholson Demi Moore Kevin Bacon Kevin Pollak','Rob Reiner'
1466,1479,'Action Crime Thriller',10877,'corruption scandal shadowing police','Exit Wounds',2001-03-13,79958599,Released,'Exit Wounds','Steven Seagal DMX Isaiah Washington Anthony Anderson Bill Duke','Andrzej Bartkowiak'
1467,1480,'Crime Comedy',9600,'\\u7edd\\u5730\\u5976\\u9738 \\u5367\\u5e95\\u80a5\\u5988 big\\u7206\\u4efb\\u52a1 \\u8d85\\u7ea7\\u5988\\u5988','Big Momma\'s House',2000-05-31,173959438,Released,'Big Momma\'s House','Martin Lawrence Nia Long Paul Giamatti Jascha Washington Terrence Howard','Raja Gosnell'
1468,1481,'Family Fantasy Animation Adventure',202575,'magic 3d','The House of Magic',2013-12-24,0,Released,'Thunder and the House of Magic','Brianne Siddall Joey Camen Elisa Gabrielli Robin Atkin Downes Shanelle Workman','Ben Stassen'
1469,1482,'Horror Action Thriller Science Fiction',71469,'alien invasion american abroad moscow unlikely heroes failed business','The Darkest Hour',2011-12-22,64626786,Released,'The Darkest Hour','Emile Hirsch Rachael Taylor Olivia Thirlby Joel Kinnaman Max Minghella','Chris Gorak'
1470,1483,'Music Drama Romance',85446,'flash mob dance instructor real estate development nike dance company','Step Up Revolution',2012-07-26,140470746,Released,'Step Up Revolution','Kathryn McCormick Ryan Guzman Stephen Boss Megan Boone Jessica Guadix','Scott Speer'
1471,1484,'Action Crime Horror Thriller',326,'snake suspense fbi agent death animal attack','Snakes on a Plane',2006-08-06,62022014,Released,'Snakes on a Plane','Samuel L. Jackson Julianna Margulies Kenan Thompson Nathan Phillips Rachel Blanchard','David R. Ellis'
1472,1485,'Mystery Thriller',10685,'chicago fbi menace covered investigation state of emergency','The Watcher',2000-09-08,0,Released,'The Watcher','James Spader Keanu Reeves Marisa Tomei Ernie Hudson Chris Ellis','Joe Charbanic'
1473,1486,'Action Crime Drama',7220,'chain submachine gun undercover smuggling twin brother','The Punisher',2004-04-15,54700105,Released,'The Punisher','Thomas Jane John Travolta Will Patton Roy Scheider Laura Harring','Jonathan Hensleigh'
1474,1487,Drama,9763,'restaurant sport coach athlete newcastle united','Goal!: The Dream Begins',2005-06-06,27610873,Released,'Goal!: The Dream Begins','Kuno Becker Alessandro Nivola Anna Friel Stephen Dillane Gary Lewis','Danny Cannon'
1475,1488,'Action Crime Thriller',72387,'broken trachea',Safe,2012-04-16,40346186,Released,Safe,'Jason Statham Chris Sarandon James Hong Catherine Chan Robert John Burke','Boaz Yakin'
1476,1489,'Comedy Drama',12596,'competition airport air controller adversary','Pushing Tin',1999-04-23,0,Released,'Pushing Tin','John Cusack Billy Bob Thornton Cate Blanchett Angelina Jolie Gene Dinovi','Mike Newell'
1477,1490,'Adventure Action Science Fiction',1892,'rebel brother sister relationship emperor space battle matter of life and death','Return of the Jedi',1983-05-23,572700000,Released,'Return of the Jedi','Mark Hamill Harrison Ford Carrie Fisher Billy Dee Williams Anthony Daniels','Richard Marquand'
1478,1491,'Action Thriller Science Fiction',13460,'dystopia quarantine futuristic sword fight lethal virus',Doomsday,2008-03-14,22211426,Released,Doomsday,'Rhona Mitra Bob Hoskins Malcolm McDowell Alexander Siddig David O\'Hara','Neil Marshall'
1479,1492,'Drama Romance',8055,'germany war crimes trial female prisoner teenager','The Reader',2008-12-10,113019290,Released,'The Reader','Kate Winslet Ralph Fiennes David Kross Jeanette Hain Bruno Ganz','Stephen Daldry'
1480,1493,Comedy,50647,'hippie commune nudism nude protest aftercreditsstinger',Wanderlust,2012-02-23,24159934,Released,Wanderlust,'Paul Rudd Jennifer Aniston Justin Theroux Malin \\u00c5kerman Lauren Ambrose','David Wain'
1481,1494,'Comedy Family Fantasy',10719,'holiday elves santa claus looking for  birth parents romance',Elf,2003-10-09,173398518,Released,Elf,'Will Ferrell James Caan Zooey Deschanel Mary Steenburgen Daniel Tay','Jon Favreau'
1482,1495,'Drama Fantasy Romance Science Fiction',9294,'brain tumor telekinesis genius terminal illness doctor',Phenomenon,1996-07-05,152036382,Released,Phenomenon,'John Travolta Kyra Sedgwick Forest Whitaker Robert Duvall Jeffrey DeMunn','Jon Turteltaub'
1483,1496,'Adventure Comedy Family',11888,'adoption log cabin alaska sled dogs','Snow Dogs',2002-01-18,0,Released,'Snow Dogs','Jim Belushi Cuba Gooding Jr. James Coburn M. Emmet Walsh Sisq\\u00f3','Brian Levant'
1484,1497,'Fantasy Comedy Drama',9647,'holiday tv ratings comedy scrooge christmas carol',Scrooged,1988-11-22,60328000,Released,Scrooged,'Bill Murray Karen Allen John Forsythe Bobcat Goldthwait Carol Kane','Richard Donner'
1485,1498,'Comedy Family',9353,'nun sport orphanage ordensbruder ringer','Nacho Libre',2006-06-16,80197993,Released,'Nacho Libre','Jack Black Ana de la Reguera H\\u00e9ctor Jim\\u00e9nez Darius Rose Mois\\u00e9s Arias','Jared Hess'
1486,1499,'Comedy Romance',55721,'competition jealousy fight materialism bridesmaid',Bridesmaids,2011-04-28,288383523,Released,Bridesmaids,'Kristen Wiig Rose Byrne Maya Rudolph Wendi McLendon-Covey Ellie Kemper','Paul Feig'
1487,1500,'Action Comedy',109414,'rape monster panic friendship celebrity','This Is the End',2013-06-12,126041322,Released,'This Is the End','James Franco Jonah Hill Seth Rogen Jay Baruchel Danny McBride','Seth Rogen'
1488,1501,Horror,10307,'vatican miracle christian faith clergyman',Stigmata,1999-09-10,50041732,Released,Stigmata,'Patricia Arquette Gabriel Byrne Jonathan Pryce Nia Long Thomas Kopache','Rupert Wainwright'
1489,1503,'Action Crime Drama Thriller',22907,heist,Takers,2010-08-26,69055695,Released,Takers,'Chris Brown Hayden Christensen Matt Dillon Michael Ealy Idris Elba','John Luessenhop'
1490,1504,Comedy,87567,'adoption marriage divorce birth mother','The Big Wedding',2013-04-25,21819348,Released,'The Big Wedding','Robert De Niro Diane Keaton Katherine Heigl Amanda Seyfried Topher Grace','Justin Zackham'
1491,1506,'Thriller Science Fiction Mystery',45612,'bomb identity fantasy bomber suspicion','Source Code',2011-03-30,147332697,Released,'Source Code','Jake Gyllenhaal Michelle Monaghan Vera Farmiga Russell Peters Michael Arden','Duncan Jones'
1492,1507,'Action Adventure Drama Thriller',7305,'rugby stranded survival plane wreck airplane crash',Alive,1993-01-15,36733909,Released,Alive,'Ethan Hawke Vincent Spano Josh Hamilton Bruce Ramsay John Newton','Frank Marshall'
1493,1508,'Thriller Drama Mystery',3594,'suicide based on novel hotel room obsession sadomasochism','The Number 23',2007-02-23,77566815,Released,'The Number 23','Jim Carrey Virginia Madsen Logan Lerman Danny Huston Lynn Collins','Joel Schumacher'
1494,1509,'Adventure Drama Family',157841,'train cartographer','The Young and Prodigious T.S. Spivet',2013-10-16,9494789,Released,'The Young and Prodigious T.S. Spivet','Kyle Catlett Helena Bonham Carter Judy Davis Callum Keith Rennie Niamh Wilson','Jean-Pierre Jeunet'
1495,1510,'Action Comedy',11519,'submarine california world war ii war ship pearl harbor',1941,1979-12-13,31755742,Released,1941,'Dan Aykroyd Ned Beatty John Belushi Lorraine Gary Murray Hamilton','Steven Spielberg'
1496,1511,'Drama Family',12920,'horse race horse kentucky sport based on true story','Dreamer: Inspired By a True Story',2005-09-10,0,Released,'Dreamer: Inspired By a True Story','Kurt Russell Dakota Fanning Kris Kristofferson Elisabeth Shue David Morse','John Gatins'
